seed,path,layer,matrix_shape,matrix_rows,matrix_cols,elements,frobenius_norm,spectral_norm,stable_rank,effective_rank_entropy,rank_90_energy,rank_95_energy,rank_99_energy,rank_995_energy,rank_999_energy,rank_384_relative_error,rank_320_relative_error,rank_256_relative_error,rank_192_relative_error,rank_160_relative_error,rank_128_relative_error,rank_96_relative_error,rank_64_relative_error
seed1,layers.m_w_out,9,"[512, 512]",512,512,262144,45.429587143,15.5020181465,8.58817920784,193.862601666,224,280,374,402,448,0.0889705467583,0.165869221015,0.260523316209,0.374479718822,0.439388291582,0.510647599299,0.589633543954,0.680463949319
seed1,layers.m_w_out,10,"[512, 512]",512,512,262144,44.8779726825,15.8475764089,8.01937922181,189.43557851,225,281,375,403,448,0.0899134118238,0.167379293136,0.262674275059,0.376134529686,0.440857084431,0.512109042071,0.59136372583,0.681056021909
seed1,layers.m_w_out,11,"[512, 512]",512,512,262144,44.2985200138,16.3976667703,7.29817580533,170.85462322,220,277,373,401,447,0.0873450579855,0.163146349569,0.255605070889,0.365724174502,0.428527228129,0.497789772466,0.575104619756,0.662486054844
seed1,layers.m_proj_w,0,"[512, 1024]",512,1024,524288,44.757891457,8.59587645295,27.1118346918,214.327903312,235,311,432,462,498,0.145736235484,0.212621905704,0.288496483168,0.377750065722,0.42960004137,0.488110962837,0.556401348186,0.642935963093
seed1,layers.m_proj_w,1,"[512, 1024]",512,1024,524288,51.6877986923,6.4558851355,64.1009526234,314.092722982,296,362,458,480,504,0.194236736909,0.281160005952,0.375860032409,0.482222147075,0.54090065494,0.604497577257,0.674981500139,0.754751753188
seed1,layers.m_proj_w,2,"[512, 1024]",512,1024,524288,52.0557953608,7.15441192004,52.9407744638,301.504638895,293,360,458,480,504,0.192366873601,0.277346051983,0.370096314552,0.474748340956,0.532599595428,0.595699625287,0.664976832083,0.743166863872
seed1,layers.m_proj_w,3,"[512, 1024]",512,1024,524288,55.4797272473,6.96031599326,63.5346616103,315.62430071,298,365,460,481,504,0.197055636918,0.28393548636,0.379164569382,0.485019156837,0.5437484349,0.607409586376,0.677038395134,0.755786375946
seed1,layers.m_proj_w,4,"[512, 1024]",512,1024,524288,55.5007438205,6.67126764332,69.211917014,316.357861917,300,366,460,481,504,0.19911813071,0.28660233948,0.381760813111,0.487929042748,0.546359941141,0.609523711268,0.678651506061,0.755757824793
seed1,layers.m_proj_w,5,"[512, 1024]",512,1024,524288,56.2366067252,7.08448564096,63.0117537058,314.620445666,300,366,461,482,505,0.19955511152,0.286753810216,0.381853660511,0.487525312495,0.545531403208,0.608395112697,0.676766587193,0.753577764309
seed1,layers.m_proj_w,6,"[512, 1024]",512,1024,524288,59.6728345378,7.49360066111,63.4121158977,316.411873211,301,367,461,482,505,0.200337263247,0.287850780248,0.383036371633,0.48860052673,0.546917632959,0.609771403194,0.678480097286,0.756360426847
seed1,layers.m_proj_w,7,"[512, 1024]",512,1024,524288,59.743723355,8.07768028682,54.7030133998,301.741178097,295,363,459,481,504,0.195183158553,0.280781761575,0.373805046459,0.477575594762,0.534844620904,0.59665304542,0.664428758222,0.741119809102
seed1,layers.m_proj_w,8,"[512, 1024]",512,1024,524288,60.1684515956,6.83357262065,77.5250477649,329.993675222,305,370,463,483,505,0.204518527579,0.293700297189,0.390523704932,0.498354371764,0.55776666762,0.62175751536,0.69175085141,0.76996530369
seed1,layers.m_proj_w,9,"[512, 1024]",512,1024,524288,59.6820842114,7.76846629172,59.0224714787,317.124893016,300,367,461,482,505,0.200047123155,0.287280611808,0.382336296877,0.488314597559,0.546634410954,0.609686959377,0.678673830319,0.75615340218
